Año,Provincia,Suma de Cablemodem,Suma de Fibra óptica,Suma de ADSL,Suma de Wireless
2014,Capital Federal,3322198,70537,1799146,7706
2015,Capital Federal,3451297,89912,1818354,8668
2016,Capital Federal,3544392,147958,1787630,7620
2017,Capital Federal,3753574,146645,2198675,9025
2018,Capital Federal,3975141,139881,1355032,14922
2019,Capital Federal,4266288,128797,1135409,15749
2020,Capital Federal,4475869,157687,696825,16599
2021,Capital Federal,4717425,184269,563056,17855
2022,Capital Federal,3689576,313032,388572,17299
2014,Catamarca,774,65,98078,0
2015,Catamarca,967,61,102401,40
2016,Catamarca,986,57,105782,40
2017,Catamarca,5177,51,106377,40
2018,Catamarca,17716,61,109209,30
2019,Catamarca,18847,9548,99942,6510
2020,Catamarca,15592,61647,102651,11050
2021,Catamarca,39402,88450,81419,7749
2022,Catamarca,35442,117429,36119,3986
2014,Chaco,40621,120,214637,10
2015,Chaco,112235,715,223819,1830
2016,Chaco,128083,912,223690,1580
2017,Chaco,146887,1555,218802,5200
2018,Chaco,166821,4875,216349,11690
2019,Chaco,193761,23048,203251,18808
2020,Chaco,230186,73586,183249,27394
2021,Chaco,251003,115281,156846,32045
2022,Chaco,187630,123501,89107,24520
2014,Corrientes,35669,133,213159,5242
2015,Corrientes,107707,639,221360,4128
2016,Corrientes,120646,845,221880,5416
2017,Corrientes,133901,2335,223288,5376
2018,Corrientes,158658,2097,225764,5785
2019,Corrientes,192950,7206,215546,8888
2020,Corrientes,228943,11422,203334,17503
2021,Corrientes,270724,24748,183136,26050
2022,Corrientes,232002,47675,115438,21286
2014,Jujuy,16315,90,121370,1140
2015,Jujuy,24358,88,129220,0
2016,Jujuy,31092,88,135327,0
2017,Jujuy,37157,84,135251,510
2018,Jujuy,44652,231,134038,19490
2019,Jujuy,116572,1574,132329,30780
2020,Jujuy,188373,34886,130232,29537
2021,Jujuy,236393,81015,102876,11287
2022,Jujuy,168089,100305,60867,12650
2014,La Rioja,0,59,63743,10
2015,La Rioja,0,64,66356,80
2016,La Rioja,0,62,66497,80
2017,La Rioja,69968,58,65974,5090
2018,La Rioja,139936,51,66577,10110
2019,La Rioja,139936,34,59509,10050
2020,La Rioja,139936,3,64820,10010
2021,La Rioja,200634,28336,50706,21971
2022,La Rioja,165783,48432,23704,19185
2014,Misiones,71771,28,228898,4530
2015,Misiones,120287,161,237614,200
2016,Misiones,146899,326,236870,200
2017,Misiones,174417,409,226858,200
2018,Misiones,199269,1817,225366,12130
2019,Misiones,259034,2684,217880,17070
2020,Misiones,301793,12960,201907,15723
2021,Misiones,351737,50444,178260,24960
2022,Misiones,269914,97873,111868,29955
2014,Salta,70725,181,296826,1300
2015,Salta,84212,188,310302,5160
2016,Salta,100230,358,318666,5980
2017,Salta,154855,483,321508,6320
2018,Salta,216531,2112,309217,9250
2019,Salta,270667,23970,272324,1718
2020,Salta,329278,103363,234803,20870
2021,Salta,383329,139229,202348,22999
2022,Salta,291829,138324,127385,20745
2014,Tierra Del Fuego,12978,2601,87024,40
2015,Tierra Del Fuego,28237,2652,90199,40
2016,Tierra Del Fuego,23722,2660,90544,40
2017,Tierra Del Fuego,27728,2482,86231,40
2018,Tierra Del Fuego,78417,4187,77898,30
2019,Tierra Del Fuego,102556,2925,72630,0
2020,Tierra Del Fuego,104587,6,51415,0
2021,Tierra Del Fuego,124857,444,51876,1540
2022,Tierra Del Fuego,118500,1222,38539,3740
2014,Tucumán,374,475,530289,520
2015,Tucumán,3382,464,564914,3520
2016,Tucumán,13465,464,583973,1990
2017,Tucumán,22100,443,607099,1700
2018,Tucumán,38836,446,639350,15580
2019,Tucumán,46860,39924,610239,27710
2020,Tucumán,43229,227799,592195,6354
2021,Tucumán,173434,291391,459947,8590
2022,Tucumán,96241,397342,256163,11989
